uid,anchor_point_id_v2,domain_num,domain_name,source,chapter_num,chapter_title,verbatim_anchor,old_anchor,testable_fact
D1-LEA-001-921e0887,AP-D1-LEA-001,1,Psychometrics & Research Methods,textbook,D1-Ch01,The Architecture of Association: How Classical Conditioning Builds Learned Responses,"Pavlov (1927): ""Any external stimulus which is to become the signal in a conditioned reflex must overlap in point of time with the action of an unconditioned stimulus."" In delay conditioning, the CS onset precedes US onset with temporal overlap, and this arrangement is the most effective for establishing classical conditioning.","Delay conditioning is a type of forward conditioning in which presentation of the conditioned stimulus precedes and overlaps presentation of the unconditioned stimulus, and it is the most effective method for establishing a conditioned response.","Delay conditioning, in which the CS onset precedes and temporally overlaps the US onset, is the most effective arrangement for establishing a classically conditioned response."
D1-LEA-004-33fc2898,AP-D1-LEA-004,1,Psychometrics & Research Methods,textbook,D1-Ch04,"Schedules, Shaping, and the Fine-Tuning of Behavior","Herrnstein, R.J. (1961). Relative and absolute strength of response as a function of frequency of reinforcement. Journal of the Experimental Analysis of Behavior, 4(3), 267-272: ""The relative frequency of responding on a key equaled the relative frequency of reinforcement from it."" The matching law states that the relative rate of responding on a particular alternative matches the relative rate of reinforcement obtained from that alternative. When two or more concurrent schedules operate simultaneously, the organism distributes its behavior proportionally to the reinforcement each schedule delivers.",The matching law predicts the effects of two or more concurrent schedules of reinforcement on the behaviors that are being reinforced.,Herrnstein's matching law states that an organism's relative rate of responding on concurrent schedules proportionally matches the relative rate of reinforcement obtained from each alternative.
D1-LEA-008-f5ad52bd,AP-D1-LEA-008,1,Psychometrics & Research Methods,textbook,D1-Ch01,The Architecture of Association: How Classical Conditioning Builds Learned Responses,"Rescorla, R.A. (1988). Pavlovian conditioning: It's not what you think it is. American Psychologist, 43(3), 151-160: ""The previously neutral conditioned stimulus comes to elicit the response"" after pairing with the unconditioned stimulus. ""One, initially neutral in that it elicits no response, is called the conditioned stimulus (CS); the other, which is one that consistently elicits a response, is called the unconditioned stimulus (US).""","In classical conditioning research, the white rat was the conditioned stimulus, because it produced a startle response after being repeatedly paired with the unconditioned stimulus, an unexpected loud noise, which naturally elicited a startle response.","In classical conditioning, a neutral conditioned stimulus (CS) acquires the ability to elicit a conditioned response after repeated pairing with an unconditioned stimulus (US) that naturally elicits a response."
D1-LEA-009-f89cf513,AP-D1-LEA-009,1,Psychometrics & Research Methods,textbook,D1-Ch01,The Architecture of Association: How Classical Conditioning Builds Learned Responses,"Pavlov (1927): ""If a tone of 1000 d.v. is established as a conditioned stimulus, many other tones spontaneously acquire similar properties, such properties diminishing proportionally to the intervals of these tones from the one of 1000 d.v."" Stimuli resembling the original CS elicit the CR despite never being directly paired with the US.",Stimulus generalization occurs when stimuli similar to the original conditioned stimulus elicit the conditioned response without ever being presented with the unconditioned stimulus.,Stimulus generalization occurs when stimuli similar to the original CS elicit the conditioned response despite never being directly paired with the unconditioned stimulus.
D1-LEA-01-1-7f6d16f1,AP-D1-LEA-01-1,1,Psychometrics & Research Methods,textbook,D1-Ch01,The Architecture of Association: How Classical Conditioning Builds Learned Responses,"Pavlov (1927): ""The hitherto quiet dog began to squeal in its stand, kept wriggling about, tore off with its teeth the apparatus for mechanical stimulation of the skin."" ""The clashing of excitation with inhibition led to a profound disturbance of the usual balance between these two processes."" Experimental neurosis arises when an organism must discriminate between highly similar stimuli.","Pavlov's canine subjects exhibited ""experimental neurosis"" due to the requirement to make difficult discriminations between similar stimuli, which provoked agitation and aggression.","Pavlov's experimental neurosis arose in dogs required to make difficult discriminations between highly similar stimuli, producing agitation and disrupted behavior."
D1-LEA-01-2-068c3d0b,AP-D1-LEA-01-2,1,Psychometrics & Research Methods,textbook,D1-Ch01,The Architecture of Association: How Classical Conditioning Builds Learned Responses,"Watson, J.B. & Rayner, R. (1920). Conditioned emotional reactions. Journal of Experimental Psychology, 3(1), 1-14: After conditioning Little Albert to fear the white rat, ""the response to the rabbit, the dog, and the fur coat were [also] evoked."" Albert's fear response to other white, furry stimuli -- though never directly paired with the loud noise -- demonstrates stimulus generalization: stimuli resembling the original CS elicit the CR without separate conditioning.",Little Albert's response to other white furry stimuli was due to stimulus generalization.,"Little Albert's fear response to other white, furry stimuli never paired with the loud noise demonstrated stimulus generalization, as shown by Watson and Rayner (1920)."
D1-LEA-01-3-cd0e6629,AP-D1-LEA-01-3,1,Psychometrics & Research Methods,textbook,D1-Ch02,"Beyond the Basics: Higher-Order Conditioning, Blocking, and Overshadowing","Kamin, L.J. (1969). Predictability, surprise, attention, and conditioning. In B.A. Campbell & R.M. Church (Eds.), Punishment and aversive behavior (pp. 279-296): Prior conditioning to stimulus A ""blocks"" conditioning to stimulus B when both are presented as a compound AB paired with the US. The US must be ""surprising"" for new learning to occur. When the US is already fully predicted by the pre-trained CS, no additional associative strength accrues to the new stimulus presented simultaneously.","In classical conditioning, blocking occurs when a new neutral stimulus is simultaneously presented with a previously conditioned stimulus before presenting the unconditioned stimulus, preventing the new neutral stimulus from becoming a conditioned stimulus.","Kamin's blocking effect occurs when prior conditioning to stimulus A prevents new conditioning to stimulus B when AB is compounded with the US, because the US is no longer surprising."
D1-LEA-011-6110b3a5,AP-D1-LEA-011,1,Psychometrics & Research Methods,textbook,D1-Ch04,"Schedules, Shaping, and the Fine-Tuning of Behavior","Terrace, H.S. (1963). Discrimination learning with and without ""errors."" Journal of the Experimental Analysis of Behavior, 6(1), 1-27: ""S--'s duration and brightness is progressively increased until S+ and S-- differ only with respect to wavelength."" Fading is the systematic and gradual removal of prompts (supplementary cues such as brightness or size differences) so that behavior comes under the control of the natural discriminative stimulus alone.",The gradual removal of visual or auditory hints or cues (prompts) is referred to as fading.,"Fading is the systematic, gradual removal of supplementary prompts so that behavior comes under control of the natural discriminative stimulus alone."
D1-LEA-013-361cb87a,AP-D1-LEA-013,1,Psychometrics & Research Methods,textbook,D1-Ch02,"Beyond the Basics: Higher-Order Conditioning, Blocking, and Overshadowing","Mackintosh, N.J. (1976). Overshadowing and stimulus intensity. Animal Learning & Behavior, 4(2), 186-192: ""Pavlov (1927) used the term 'overshadowing' to describe the observation that conditioning to a relatively weak stimulus might be severely attenuated if it was always presented in conjunction with a more intense stimulus."" ""When one component was markedly more salient than the other, the more salient overshadowed the less salient.""","Testing the effects of overshadowing involves presenting two neutral stimuli together before the unconditioned stimulus, which leads to the less salient conditioned stimulus being overshadowed by the more salient one.",Overshadowing occurs when a more salient stimulus presented in compound with a less salient stimulus attenuates conditioning to the less salient stimulus.
D1-LEA-019-70477168,AP-D1-LEA-019,1,Psychometrics & Research Methods,textbook,D1-Ch02,"Beyond the Basics: Higher-Order Conditioning, Blocking, and Overshadowing","Rizley, R.C. & Rescorla, R.A. (1972). Associations in second-order conditioning and sensory preconditioning. Journal of Comparative and Physiological Psychology, 81(1), 1-11: ""A typical second-order conditioning situation in which S1 is first paired with a US and then S2 is regularly followed by S1. As a consequence of the first stage, presentation of S1 elicits a CR, while during the second-order conditioning stage S2 also comes to elicit that CR."" CS2 elicits a CR even though it was never directly paired with the original US.","Pavlov's higher-order conditioning experiment involved pairing a tone with food so that the dog salivated when the tone was presented alone, and then pairing a light with the tone so that the dog also salivated when the light was presented alone.","In second-order conditioning, CS2 acquires the ability to elicit a conditioned response after being paired with CS1, even though CS2 was never directly paired with the original unconditioned stimulus."
D1-LEA-02-1-03db119a,AP-D1-LEA-02-1,1,Psychometrics & Research Methods,textbook,D1-Ch01,The Architecture of Association: How Classical Conditioning Builds Learned Responses,"Pavlov, I.P. (1927). Conditioned reflexes: An investigation of the physiological activity of the cerebral cortex. Oxford University Press: ""Any external stimulus which is to become the signal in a conditioned reflex must overlap in point of time with the action of an unconditioned stimulus."" In delay conditioning, the CS onset precedes and temporally overlaps the US onset, and this arrangement is the most effective method for establishing a conditioned response.","Delay conditioning, where the conditioned stimulus precedes and overlaps presentation of the unconditioned stimulus, is the most effective method for establishing a conditioned response through classical conditioning.","Delay conditioning, in which the CS precedes and temporally overlaps the US, is the most effective method for establishing a classically conditioned response."
D1-LEA-02-2-9af2de77,AP-D1-LEA-02-2,1,Psychometrics & Research Methods,textbook,D1-Ch02,"Beyond the Basics: Higher-Order Conditioning, Blocking, and Overshadowing","Kamin (1969): Prior conditioning to stimulus A prevents conditioning to stimulus B when both are presented as a compound AB paired with the US. The US must be surprising for learning to occur. If the US is fully predicted by Stimulus A, no new learning about Stimulus B occurs.","Blocking occurs when a new neutral stimulus is presented with a conditioned stimulus, preventing the new stimulus from becoming a conditioned stimulus.",Kamin's blocking effect demonstrates that prior conditioning to stimulus A prevents new learning about stimulus B in an AB compound because the US must be surprising for conditioning to occur.
D1-LEA-02-3-3c99fa66,AP-D1-LEA-02-3,1,Psychometrics & Research Methods,textbook,D1-Ch02,"Beyond the Basics: Higher-Order Conditioning, Blocking, and Overshadowing","Pavlov (1927): Higher-order (second-order) conditioning involves first establishing a conditioned stimulus (CS1) by pairing it with an unconditioned stimulus, then pairing a new neutral stimulus (CS2) with the already-established CS1. ""A well-established conditioned stimulus is used in the place of the unconditioned stimulus"" so that CS2 also acquires the ability to elicit a conditioned response when presented alone, without ever having been directly paired with the unconditioned stimulus.",Higher-order conditioning involves treating the initial conditioned stimulus as an unconditioned stimulus and pairing it with a neutral stimulus so that the neutral stimulus also becomes a conditioned stimulus and elicits a conditioned response when presented alone.,"In higher-order (second-order) conditioning, a new neutral stimulus (CS2) paired with an already-established CS1 acquires the ability to elicit a conditioned response without ever being directly paired with the unconditioned stimulus."
