uid,anchor_point_id_v2,domain_num,domain_name,domain_code,subdomain,source,chapter_num,chapter_title,verbatim_anchor,old_anchor,testable_fact,passage
D1-LEA-020-fba878e3,AP-D1-LEA-020,1,Psychometrics & Research Methods,PMET,Classical Conditioning,textbook,D1-Ch01,The Architecture of Association: How Classical Conditioning Builds Learned Responses,"Pavlov (1927): ""Repeated application of a conditioned stimulus which is not followed up by reinforcement leads to a weakening of the conditioned reflex."" ""Left to themselves extinguished conditioned reflexes spontaneously recover their full strength after a longer or shorter interval of time."" ""It cannot be regarded as an irreparable destruction of the conditioned reflex... evidenced by the fact that the extinguished reflexes spontaneously regenerate in course of time."" Extinction suppresses rather than eliminates learned associations.","Spontaneous recovery refers to the return of an extinguished conditioned response without the conditioned stimulus being presented again with the unconditioned stimulus, confirming that a conditioned response is suppressed rather than eliminated by extinction trials.",Spontaneous recovery — the return of an extinguished CR after a rest interval without reconditioning — demonstrates that extinction suppresses rather than permanently eliminates the learned association.,"Imagine a dog that was once trained to salivate at the sound of a bell. After weeks of presenting the bell without food, the salivation response disappears entirely. The trainer assumes the learning has been erased. But days later, when the bell rings again in a routine hearing test, the dog salivates -- seemingly out of nowhere. This puzzling phenomenon is known as spontaneous recovery, and it reveals something fundamental about how learned associations are stored in the brain.

**Spontaneous recovery** refers to the reappearance of a previously **extinguished conditioned response** (CR) after a rest period, without any additional pairing of the **conditioned stimulus** (CS) with the **unconditioned stimulus** (US). Ivan Pavlov first documented this effect during his landmark conditioning experiments with dogs in the early 1900s. After a series of **extinction trials** -- presentations of the CS alone -- the CR appeared to vanish. Yet following a time interval during which no stimuli were presented, the CR returned when the CS was reintroduced. Critically, the recovered response is typically weaker than the original CR and extinguishes more rapidly upon subsequent unreinforced presentations.

The significance of spontaneous recovery extends well beyond a curious laboratory observation. Its occurrence provides compelling evidence that extinction does not destroy or erase the original CS-US association. Instead, extinction produces a new, competing association -- one in which the CS signals the absence of the US. Pavlov interpreted this as evidence for **internal inhibition**: extinction actively suppresses the CR rather than eliminating the underlying associative memory. The original excitatory association remains intact beneath this inhibitory overlay, and when the inhibition dissipates over time (as it does during a rest period), the CR resurfaces.

Modern theories of extinction have elaborated on Pavlov's insight. Mark Bouton's work on the **context-dependency of extinction** demonstrates that the original conditioning and extinction learning are stored as separate memories. Extinction is highly sensitive to context: change the setting, wait a period of time, or introduce a mild stressor, and the extinguished response can return. Spontaneous recovery, **renewal** (return of the CR in a different context), and **reinstatement** (return of the CR after unsignaled US presentations) all converge on the same conclusion -- extinction is new learning layered on top of old learning, not the deletion of old learning.

This principle has direct implications for research methodology and measurement. When researchers use extinction procedures in animal learning paradigms, they must account for the possibility that apparently eliminated behaviors may return spontaneously. Study designs that assess extinction outcomes at a single time point risk overestimating the permanence of the extinction effect. Longitudinal follow-up assessments are necessary to determine whether a conditioned response has truly been suppressed in a lasting manner. Additionally, the strength of spontaneous recovery can serve as an indirect measure of the original conditioning strength -- stronger initial conditioning tends to produce more robust spontaneous recovery effects.

The theoretical mechanism behind spontaneous recovery also informs our understanding of inhibitory processes in the nervous system. Pavlov proposed that during extinction, an inhibitory process gradually builds to counteract the excitatory process established during acquisition. Over time, this inhibition weakens -- a phenomenon sometimes termed the **dissipation of inhibition** -- allowing the excitatory association to express itself once more. This temporal dynamic underscores that learned associations can exist in a dormant state, ready to be reactivated under the right conditions.

On the EPPP, spontaneous recovery is a frequently tested concept within classical conditioning. Exam questions commonly ask candidates to identify what spontaneous recovery demonstrates about the nature of extinction -- the key answer being that extinction suppresses rather than eliminates the conditioned response. A common trap is confusing spontaneous recovery with other post-extinction phenomena such as disinhibition (the temporary return of an extinguished CR due to presentation of a novel stimulus) or reinstatement. Remember: spontaneous recovery occurs after a rest period with no additional stimulus presentations, distinguishing it from these related but distinct phenomena."
D1-LEA-009-f89cf513,AP-D1-LEA-009,1,Psychometrics & Research Methods,PMET,Classical Conditioning,textbook,D1-Ch01,The Architecture of Association: How Classical Conditioning Builds Learned Responses,"Pavlov (1927): ""If a tone of 1000 d.v. is established as a conditioned stimulus, many other tones spontaneously acquire similar properties, such properties diminishing proportionally to the intervals of these tones from the one of 1000 d.v."" Stimuli resembling the original CS elicit the CR despite never being directly paired with the US.",Stimulus generalization occurs when stimuli similar to the original conditioned stimulus elicit the conditioned response without ever being presented with the unconditioned stimulus.,Stimulus generalization occurs when stimuli similar to the original CS elicit the conditioned response despite never being directly paired with the unconditioned stimulus.,"Why does a child who was bitten by a German Shepherd flinch at the sight of a Golden Retriever? The answer lies in one of the most robust phenomena in learning theory: stimulus generalization. After a conditioned response has been established to a particular conditioned stimulus, organisms often respond in a similar manner to stimuli that share physical or perceptual features with the original, even though those new stimuli were never directly paired with the unconditioned stimulus.

**Stimulus generalization** occurs when stimuli similar to the original **conditioned stimulus** elicit the **conditioned response** without ever having been presented alongside the **unconditioned stimulus**. The gradient of generalization describes the systematic relationship between the degree of similarity and the strength of the elicited response: stimuli that closely resemble the original conditioned stimulus evoke stronger responses, while those that differ substantially produce weaker ones. This gradient can be plotted as a curve, with peak responding at the original stimulus value and declining responding as stimuli become less similar.

Several variables influence the breadth of generalization. The intensity and number of conditioning trials tend to produce steeper gradients, meaning more precise discrimination. Conversely, limited training often leads to broader generalization across a wider range of stimuli. The sensory modality also matters: generalization along dimensions such as pitch, brightness, or texture each follow their own characteristic gradients. Researchers have demonstrated generalization across auditory tones, visual wavelengths, and even tactile pressures in both animal and human studies.

In applied contexts, stimulus generalization has direct implications for understanding how conditioned emotional responses spread beyond the original learning situation. A laboratory participant conditioned to respond anxiously to a specific tone may show elevated physiological arousal to nearby frequencies. This principle extends to real-world settings where a single aversive experience can produce reactions to an entire class of perceptually related stimuli. The phenomenon also informs research on perceptual learning, where training organisms to discriminate between similar stimuli effectively narrows the generalization gradient.

For the EPPP, candidates should recognize that stimulus generalization is a fundamental property of classical conditioning, distinct from **stimulus discrimination**, which involves learning to respond differentially to stimuli that differ from the conditioned stimulus. Exam questions frequently test whether candidates can identify generalization in novel scenarios, distinguish it from higher-order conditioning, and predict the shape of the generalization gradient based on training parameters. Understanding that generalization occurs automatically and without additional pairings with the unconditioned stimulus is a critical conceptual distinction that appears regularly on the examination."
D1-LEA-008-f5ad52bd,AP-D1-LEA-008,1,Psychometrics & Research Methods,PMET,Classical Conditioning,textbook,D1-Ch01,The Architecture of Association: How Classical Conditioning Builds Learned Responses,"Rescorla, R.A. (1988). Pavlovian conditioning: It's not what you think it is. American Psychologist, 43(3), 151-160: ""The previously neutral conditioned stimulus comes to elicit the response"" after pairing with the unconditioned stimulus. ""One, initially neutral in that it elicits no response, is called the conditioned stimulus (CS); the other, which is one that consistently elicits a response, is called the unconditioned stimulus (US).""","In classical conditioning research, the white rat was the conditioned stimulus, because it produced a startle response after being repeatedly paired with the unconditioned stimulus, an unexpected loud noise, which naturally elicited a startle response.","In classical conditioning, a neutral conditioned stimulus (CS) acquires the ability to elicit a conditioned response after repeated pairing with an unconditioned stimulus (US) that naturally elicits a response.","What transforms a neutral object into something that elicits fear? The classic demonstration by John B. Watson and Rosalie Rayner with an infant known as Little Albert provides one of psychology's most cited illustrations of classical conditioning principles. By systematically pairing a neutral stimulus with one that naturally produced a reflexive response, Watson demonstrated that emotional reactions could be acquired through associative learning.

In this landmark research, the white rat served as the **conditioned stimulus (CS)** because it produced a startle response only after being repeatedly paired with the **unconditioned stimulus (US)**, which was an unexpected loud noise created by striking a steel bar. The loud noise naturally and automatically elicited a startle and distress response, making the startle reaction to the noise the **unconditioned response (UR)**. After several pairings, the infant displayed a fear reaction upon seeing the white rat alone, and this acquired fear response constituted the **conditioned response (CR)**.

This experiment illustrates the essential mechanics of classical conditioning. Before conditioning, the rat was a neutral stimulus that elicited curiosity rather than distress. The loud noise, by contrast, required no learning to produce a reflexive startle. The critical procedural element was temporal contiguity: the rat and the noise were presented in close succession across multiple trials. Through this repeated pairing, the rat acquired the capacity to elicit a response that resembled the original reflexive reaction to the noise, though the conditioned response was typically less intense than the unconditioned response.

The Watson and Rayner study also illustrates important methodological and conceptual points. The procedure demonstrated that emotional responses, not just simple reflexes like salivation, could be classically conditioned. This finding extended the reach of Pavlovian principles beyond the physiological domain into affective and behavioral territory. The study further raised enduring questions about the persistence of conditioned emotional reactions and the conditions under which they might be extinguished.

For the EPPP, candidates must be able to correctly identify each element of a classical conditioning paradigm. A common exam strategy presents a scenario and asks which stimulus is the CS, US, CR, or UR. The key distinction is that the unconditioned stimulus naturally elicits the unconditioned response without any prior learning, while the conditioned stimulus only elicits its response after being paired with the unconditioned stimulus. Candidates should also recognize that the conditioned response and unconditioned response are similar but not identical, and that the conditioned stimulus was initially neutral before the conditioning procedure."
D1-LEA-019-70477168,AP-D1-LEA-019,1,Psychometrics & Research Methods,PMET,Classical Conditioning,textbook,D1-Ch02,"Beyond the Basics: Higher-Order Conditioning, Blocking, and Overshadowing","Rizley, R.C. & Rescorla, R.A. (1972). Associations in second-order conditioning and sensory preconditioning. Journal of Comparative and Physiological Psychology, 81(1), 1-11: ""A typical second-order conditioning situation in which S1 is first paired with a US and then S2 is regularly followed by S1. As a consequence of the first stage, presentation of S1 elicits a CR, while during the second-order conditioning stage S2 also comes to elicit that CR."" CS2 elicits a CR even though it was never directly paired with the original US.","Pavlov's higher-order conditioning experiment involved pairing a tone with food so that the dog salivated when the tone was presented alone, and then pairing a light with the tone so that the dog also salivated when the light was presented alone.","In second-order conditioning, CS2 acquires the ability to elicit a conditioned response after being paired with CS1, even though CS2 was never directly paired with the original unconditioned stimulus.","A child who has learned to feel excited at the sight of golden arches (because they signal a trip to a fast-food restaurant) may eventually feel that same excitement when seeing the exit ramp that leads to the restaurant -- even though the exit ramp was never directly paired with food. This everyday experience mirrors a principle Pavlov demonstrated over a century ago: higher-order conditioning, a process by which the reach of a conditioned stimulus extends beyond the original learning episode.

**Higher-order conditioning** (also called **second-order conditioning** when it involves two stages) occurs when a well-established conditioned stimulus (CS1) is used to condition a response to a new, neutral stimulus (CS2), without the unconditioned stimulus (US) being presented during the second phase. In Pavlov's classic demonstration, he first established a standard conditioned response by repeatedly pairing a **tone** (CS1) with **food** (US) until the dog reliably **salivated** (CR) to the tone alone. In the second phase, Pavlov paired a **light** (CS2) with the **tone** (CS1) -- crucially, no food was presented during these pairings. After sufficient trials, the dog salivated when the light was presented by itself. The light had acquired the ability to elicit salivation not through direct association with food, but through its association with the tone, which itself predicted food.

The mechanism underlying higher-order conditioning reveals an important feature of associative learning: conditioned stimuli can themselves function as reinforcers for new learning. The CS1 (tone) acts as a kind of surrogate US during the second phase, transferring its acquired associative strength to the CS2 (light). However, higher-order conditioned responses are generally **weaker** and **less durable** than first-order conditioned responses. Because the CS2-CS1 pairings occur without the US, the CS1 is simultaneously undergoing extinction -- it is being presented without the US, which gradually weakens its own conditioned properties. This built-in instability limits how many orders of conditioning can be practically established. In laboratory settings, second-order conditioning is reliably demonstrated, third-order conditioning is difficult to obtain, and higher orders are virtually impossible to establish.

Higher-order conditioning is theoretically significant because it demonstrates that new learning can occur without direct experience of the biologically significant event (the US). This principle helps explain how complex chains of associations develop in naturalistic settings. A word (CS2) associated with a tone (CS1) that was associated with shock (US) can come to elicit a fear response, even though the word was never paired with shock. This chaining of associations provides a mechanism for understanding how emotional responses can become attached to increasingly abstract or remote stimuli.

From a research design perspective, higher-order conditioning paradigms require careful control procedures to rule out alternative explanations. Researchers must demonstrate that the CS2 does not independently elicit the response (ruling out sensitization), that the CS2-CS1 pairings specifically (not just exposure to both stimuli) produce the effect (ruling out pseudoconditioning), and that the CS1 retains its conditioned properties at the start of the second phase. Control groups that receive unpaired CS2 and CS1 presentations, or CS2 presentations with a neutral stimulus that was never conditioned, are essential.

On the EPPP, higher-order conditioning questions typically describe a two-phase procedure and ask candidates to identify the phenomenon. The defining features to recognize are: (1) an initial phase establishing a CS-US association, followed by (2) a second phase pairing a new stimulus with the established CS, resulting in (3) the new stimulus eliciting a conditioned response without ever being directly paired with the US. A common exam trap is confusing higher-order conditioning with stimulus generalization, which involves responding to stimuli similar to the original CS rather than stimuli explicitly paired with it."
D1-LEA-03-f81f8ec9,AP-D1-LEA-03,1,Psychometrics & Research Methods,PMET,Classical Conditioning,textbook,D1-Ch01,The Architecture of Association: How Classical Conditioning Builds Learned Responses,"Rescorla, R.A. (1988). Pavlovian conditioning: It's not what you think it is. American Psychologist, 43(3), 151-160: The CR is typically similar to but may differ from the UR, and is generally less intense. Rescorla notes ""an important, but poorly appreciated, fact about conditioning that makes nonsense of any claim that a signal simply acquires the ability to evoke the response to the US.""",The conditioned response elicited by a neutral stimulus in classical conditioning is usually less in intensity than the unconditioned response.,The conditioned response in classical conditioning is typically similar to but less intense than the unconditioned response.,"When a pet owner opens a can of food and the cat comes running, the cat's anticipatory behavior -- ears perking, tail raised, moving toward the kitchen -- resembles but does not fully replicate the vigorous eating response the cat shows when food is actually placed in its bowl. This everyday observation captures a fundamental principle of classical conditioning: the conditioned response is typically less intense than the unconditioned response.

In classical conditioning, the **unconditioned response** (UR) is the natural, unlearned reaction elicited by the **unconditioned stimulus** (US). It is a full-strength biological response that has been shaped by evolution -- salivation to food, an eyeblink to a puff of air, a startle reaction to a loud noise. The **conditioned response** (CR), by contrast, is the learned response elicited by the **conditioned stimulus** (CS) after the CS has been repeatedly paired with the US. While the CR often resembles the UR in form, it is **usually less intense** in magnitude. A dog conditioned to salivate to a bell, for example, typically produces less saliva in response to the bell alone than it does when food is actually placed in its mouth.

Several theoretical mechanisms account for this intensity difference. First, the CS is a **signal** for the US, not the US itself. It activates a representation or expectation of the US, which elicits a preparatory or anticipatory version of the response rather than the complete consummatory response. Robert Rescorla's work on the informational value of the CS emphasizes that what the organism learns is a predictive relationship: the CS predicts that the US is coming. The resulting CR serves an adaptive, preparatory function -- the organism readies itself for the upcoming event but does not execute the full response until the US arrives.

Second, the neural pathways mediating the CR may partially overlap with but are not identical to those mediating the UR. The UR is driven by direct sensory input from the US acting on hardwired reflex arcs or innate response systems. The CR, routed through learned associative pathways, may recruit some but not all of the same effector mechanisms. This incomplete neural overlap contributes to the reduced magnitude of the conditioned response.

It is worth noting that the CR is not always simply a weaker version of the UR -- in some cases, the CR may differ qualitatively from the UR. Research on drug conditioning has shown that conditioned responses to drug-associated cues can sometimes be **compensatory** -- opposite in direction to the drug's unconditioned effect. For instance, if a drug produces hypothermia (the UR), environmental cues associated with drug administration can produce hyperthermia (the CR), as the body anticipates and counteracts the drug's effect. These compensatory CRs, while different in direction, are still typically smaller in absolute magnitude than the original UR.

The intensity difference between the CR and UR also has implications for measurement in conditioning research. Researchers must calibrate their dependent measures to detect the CR, which may be subtle compared to the UR. Using measures that are only sensitive to full-strength responses may lead to the erroneous conclusion that conditioning has not occurred. Sensitive equipment -- such as strain gauges for eyeblink conditioning or precise volumetric measurement for salivary conditioning -- is necessary to accurately assess the magnitude of conditioned responses.

For the EPPP, the key point is straightforward: the CR is usually weaker than the UR. Exam questions may present this as a comparison between the response elicited by the CS alone versus the response elicited by the US, asking which is typically greater. The answer is the UR. Be cautious of answer choices that describe the CR and UR as identical in magnitude -- this is the most common distractor for this concept."
D1-LEA-01-1-7f6d16f1,AP-D1-LEA-01-1,1,Psychometrics & Research Methods,PMET,Classical Conditioning,textbook,D1-Ch01,The Architecture of Association: How Classical Conditioning Builds Learned Responses,"Pavlov (1927): ""The hitherto quiet dog began to squeal in its stand, kept wriggling about, tore off with its teeth the apparatus for mechanical stimulation of the skin."" ""The clashing of excitation with inhibition led to a profound disturbance of the usual balance between these two processes."" Experimental neurosis arises when an organism must discriminate between highly similar stimuli.","Pavlov's canine subjects exhibited ""experimental neurosis"" due to the requirement to make difficult discriminations between similar stimuli, which provoked agitation and aggression.","Pavlov's experimental neurosis arose in dogs required to make difficult discriminations between highly similar stimuli, producing agitation and disrupted behavior.","What happens when an organism is pushed to the limits of its ability to tell similar stimuli apart? Ivan Pavlov discovered the answer during his pioneering conditioning research when he observed a dramatic behavioral breakdown in his canine subjects. This phenomenon, which Pavlov termed experimental neurosis, reveals important principles about the boundaries of stimulus discrimination and its psychological consequences.

Pavlov's canine subjects exhibited **experimental neurosis** when they were required to make increasingly difficult discriminations between similar stimuli, a task that provoked visible agitation, aggression, and behavioral disorganization. In the classic procedure, a dog was first conditioned to discriminate between a circle (paired with food) and an ellipse (not paired with food). The dog learned to salivate to the circle but not the ellipse. Pavlov then gradually made the ellipse more circular across successive sessions, narrowing the perceptual difference until the discrimination became nearly impossible.

When the stimuli became too similar to differentiate reliably, the previously well-behaved dogs displayed a constellation of disturbed behaviors. They whined, barked, struggled against their harnesses, and sometimes became aggressive toward the laboratory apparatus or handlers. Their previously stable conditioned responses deteriorated, and even the easy discriminations they had mastered earlier broke down. These behavioral disturbances persisted beyond the experimental session and sometimes lasted for weeks, suggesting a genuine disruption rather than a momentary frustration.

The concept of experimental neurosis carries several theoretical implications for learning theory. It demonstrates that the discrimination process has functional limits determined by the organism's sensory and processing capacities. When environmental demands exceed those limits, the result is not simply a failure to discriminate but an active state of behavioral disruption. Pavlov interpreted this as a conflict between excitatory and inhibitory processes in the cortex, with the forced discrimination creating an unsustainable clash between the tendency to respond and the tendency to inhibit responding.

For the EPPP, candidates should understand that experimental neurosis is specifically produced by forcing discriminations between stimuli that are too similar, not by other conditioning procedures. Exam questions may present scenarios involving deteriorating performance during discrimination training and ask candidates to identify the phenomenon. The key diagnostic feature is the combination of stimulus similarity being pushed beyond the organism's capacity and the resulting agitated, disorganized behavior. Candidates should also know that this concept is historically associated with Pavlov's laboratory and contributed to early theories about the relationship between learning demands and behavioral pathology."
D1-LEA-02-1-03db119a,AP-D1-LEA-02-1,1,Psychometrics & Research Methods,PMET,Classical Conditioning,textbook,D1-Ch01,The Architecture of Association: How Classical Conditioning Builds Learned Responses,"Pavlov, I.P. (1927). Conditioned reflexes: An investigation of the physiological activity of the cerebral cortex. Oxford University Press: ""Any external stimulus which is to become the signal in a conditioned reflex must overlap in point of time with the action of an unconditioned stimulus."" In delay conditioning, the CS onset precedes and temporally overlaps the US onset, and this arrangement is the most effective method for establishing a conditioned response.","Delay conditioning, where the conditioned stimulus precedes and overlaps presentation of the unconditioned stimulus, is the most effective method for establishing a conditioned response through classical conditioning.","Delay conditioning, in which the CS precedes and temporally overlaps the US, is the most effective method for establishing a classically conditioned response.","Among the many procedural variations for establishing a conditioned response, which timing arrangement produces the strongest and most reliable learning? Decades of research have converged on a clear answer: the temporal relationship between the conditioned stimulus and the unconditioned stimulus is one of the most critical variables in classical conditioning, and one particular arrangement consistently outperforms all others.

**Delay conditioning** is a type of forward conditioning in which the **conditioned stimulus** begins before and continues during the presentation of the **unconditioned stimulus**, overlapping with it in time. This arrangement is the most effective method for establishing a **conditioned response** through classical conditioning. The conditioned stimulus onset precedes the unconditioned stimulus by a brief interval, and the conditioned stimulus remains present when the unconditioned stimulus arrives. This overlap provides the organism with a reliable temporal signal that the unconditioned stimulus is imminent.

Delay conditioning contrasts with several other temporal arrangements. In **trace conditioning**, the conditioned stimulus is presented and then terminated before the unconditioned stimulus begins, leaving a stimulus-free gap between the two. Trace conditioning is generally less effective than delay conditioning because the organism must bridge a temporal gap using memory processes. In **simultaneous conditioning**, the conditioned stimulus and unconditioned stimulus begin at exactly the same time, which is typically ineffective because the conditioned stimulus provides no predictive information. In **backward conditioning**, the unconditioned stimulus precedes the conditioned stimulus, which generally fails to produce reliable conditioned responding and may even produce inhibitory conditioning.

The effectiveness of delay conditioning is understood through the lens of informational and predictive models of learning. According to the Rescorla-Wagner model and related theories, conditioning occurs most efficiently when the conditioned stimulus serves as a reliable predictor of the unconditioned stimulus. Delay conditioning satisfies this requirement optimally because the conditioned stimulus onset precedes and signals the forthcoming unconditioned stimulus while maintaining temporal contiguity through overlap. The optimal interstimulus interval for delay conditioning varies by response system but generally falls within a range of about half a second for autonomic responses.

For the EPPP, candidates should be prepared to identify delay conditioning as the most effective forward conditioning procedure and to distinguish it from trace, simultaneous, and backward conditioning. Questions frequently present timing diagrams or verbal descriptions and ask which arrangement will produce the strongest conditioned response. The essential features to remember are that the conditioned stimulus precedes the unconditioned stimulus in onset and overlaps with it in time."
D1-LEA-01-2-068c3d0b,AP-D1-LEA-01-2,1,Psychometrics & Research Methods,PMET,Classical Conditioning,textbook,D1-Ch01,The Architecture of Association: How Classical Conditioning Builds Learned Responses,"Watson, J.B. & Rayner, R. (1920). Conditioned emotional reactions. Journal of Experimental Psychology, 3(1), 1-14: After conditioning Little Albert to fear the white rat, ""the response to the rabbit, the dog, and the fur coat were [also] evoked."" Albert's fear response to other white, furry stimuli -- though never directly paired with the loud noise -- demonstrates stimulus generalization: stimuli resembling the original CS elicit the CR without separate conditioning.",Little Albert's response to other white furry stimuli was due to stimulus generalization.,"Little Albert's fear response to other white, furry stimuli never paired with the loud noise demonstrated stimulus generalization, as shown by Watson and Rayner (1920).","When Little Albert began crying at the sight of a rabbit, a fur coat, and even a Santa Claus mask after being conditioned to fear a white rat, researchers had a clear demonstration of a fundamental classical conditioning principle in action. These reactions to stimuli that were never directly paired with the loud noise illustrate how conditioned responses can extend beyond the original training situation.

Little Albert's response to other white furry stimuli was due to **stimulus generalization**, the process by which stimuli that are perceptually similar to the original **conditioned stimulus** come to elicit the **conditioned response** without having been directly paired with the **unconditioned stimulus**. Albert had been conditioned to fear a white rat through repeated pairings with a sudden loud noise. Subsequently, he showed distress reactions to a rabbit, a dog, a fur coat, cotton wool, and a Santa Claus mask with a white beard. Each of these shared a perceptual feature, white and furry or soft texture, with the original conditioned stimulus.

The gradient of generalization was evident in Albert's responses. Objects that more closely resembled the white rat in color, texture, and size tended to produce stronger fear reactions, while objects that shared fewer features with the rat elicited weaker responses. This pattern is consistent with the principle that generalization follows a gradient based on the degree of similarity between test stimuli and the original conditioned stimulus. The response strength typically decreases as the test stimulus becomes increasingly dissimilar from the training stimulus.

Stimulus generalization is distinguished from several related phenomena. It differs from **stimulus discrimination**, in which an organism learns to respond to one stimulus but not to similar stimuli, typically through differential reinforcement. It also differs from **higher-order conditioning**, where a conditioned stimulus is used to condition a response to a new neutral stimulus through direct pairing. In Albert's case, there was no additional pairing procedure; the response to novel stimuli occurred automatically based on perceptual similarity alone.

For the EPPP, the Little Albert study is one of the most frequently tested examples in learning theory. Candidates must recognize that the spread of Albert's fear to similar objects demonstrates stimulus generalization, not higher-order conditioning, not modeling, and not operant learning. Exam questions may describe a scenario analogous to Albert's and ask candidates to identify the principle at work. The defining feature is that a conditioned response appears to a new stimulus that was never paired with the unconditioned stimulus, based solely on its resemblance to the original conditioned stimulus."
D1-LEA-02-2-9af2de77,AP-D1-LEA-02-2,1,Psychometrics & Research Methods,PMET,Classical Conditioning,textbook,D1-Ch02,"Beyond the Basics: Higher-Order Conditioning, Blocking, and Overshadowing","Kamin (1969): Prior conditioning to stimulus A prevents conditioning to stimulus B when both are presented as a compound AB paired with the US. The US must be surprising for learning to occur. If the US is fully predicted by Stimulus A, no new learning about Stimulus B occurs.","Blocking occurs when a new neutral stimulus is presented with a conditioned stimulus, preventing the new stimulus from becoming a conditioned stimulus.",Kamin's blocking effect demonstrates that prior conditioning to stimulus A prevents new learning about stimulus B in an AB compound because the US must be surprising for conditioning to occur.,"Why does adding a second signal to an already-effective predictor sometimes fail to produce new learning? This question lies at the heart of one of classical conditioning's most theoretically important phenomena, one that challenged simple contiguity accounts of learning and helped reshape how researchers understand the conditions necessary for conditioning to occur.

**Blocking** occurs when a previously conditioned stimulus is presented simultaneously with a new neutral stimulus before both are followed by the **unconditioned stimulus**. Despite being paired with the unconditioned stimulus, the new stimulus fails to become a **conditioned stimulus** because the existing conditioned stimulus already fully predicts the unconditioned stimulus. The prior conditioning of the first stimulus effectively blocks conditioning to the second stimulus.

The blocking procedure was first systematically studied by Leon Kamin in the 1960s. In a typical experiment, an animal first learns that stimulus A predicts a shock (Phase 1: A followed by shock). In Phase 2, stimulus A is presented together with a new stimulus B, and the compound AB is followed by the same shock. When stimulus B is later tested alone, it elicits little or no conditioned response, even though it was paired with the unconditioned stimulus just as many times as would normally be sufficient to produce conditioning. The critical variable is not the number of pairings but whether the new stimulus provides additional predictive information.

Blocking has profound implications for theories of learning. It demonstrated that temporal contiguity between a neutral stimulus and an unconditioned stimulus is not sufficient for conditioning. Instead, the neutral stimulus must provide new, non-redundant information about the occurrence of the unconditioned stimulus. This insight was formalized in the Rescorla-Wagner model, which proposes that conditioning to a stimulus occurs only to the extent that the unconditioned stimulus is surprising or unexpected. When an existing conditioned stimulus already predicts the unconditioned stimulus, there is no prediction error, and consequently no learning accrues to the added stimulus.

For the EPPP, candidates should understand blocking as evidence against pure contiguity theories and in favor of informational or predictive theories of classical conditioning. Exam questions may describe a two-phase conditioning procedure and ask why the second stimulus fails to acquire conditioned properties. The key answer is that the pre-trained stimulus already predicted the unconditioned stimulus, leaving no prediction error to drive learning to the new stimulus. Candidates should distinguish blocking from overshadowing, where two novel stimuli are presented together for the first time."
D1-LEA-02-3-3c99fa66,AP-D1-LEA-02-3,1,Psychometrics & Research Methods,PMET,Classical Conditioning,textbook,D1-Ch02,"Beyond the Basics: Higher-Order Conditioning, Blocking, and Overshadowing","Pavlov (1927): Higher-order (second-order) conditioning involves first establishing a conditioned stimulus (CS1) by pairing it with an unconditioned stimulus, then pairing a new neutral stimulus (CS2) with the already-established CS1. ""A well-established conditioned stimulus is used in the place of the unconditioned stimulus"" so that CS2 also acquires the ability to elicit a conditioned response when presented alone, without ever having been directly paired with the unconditioned stimulus.",Higher-order conditioning involves treating the initial conditioned stimulus as an unconditioned stimulus and pairing it with a neutral stimulus so that the neutral stimulus also becomes a conditioned stimulus and elicits a conditioned response when presented alone.,"In higher-order (second-order) conditioning, a new neutral stimulus (CS2) paired with an already-established CS1 acquires the ability to elicit a conditioned response without ever being directly paired with the unconditioned stimulus.","Can a conditioned stimulus itself serve as the foundation for further conditioning? The answer is yes, and this capacity for chains of associative learning to extend beyond the original conditioning event has important implications for understanding how complex networks of learned associations develop in both laboratory and naturalistic settings.

**Higher-order conditioning** (also called second-order conditioning) involves using an established **conditioned stimulus** as though it were an **unconditioned stimulus** by pairing it with a new **neutral stimulus**. After sufficient pairings, the previously neutral stimulus also becomes a conditioned stimulus capable of eliciting a **conditioned response** when presented alone. The process extends the reach of classical conditioning beyond the original stimulus-response association and allows responses to be elicited by stimuli that were never directly paired with the original unconditioned stimulus.

The procedure unfolds in two phases. In Phase 1, standard conditioning is established: a neutral stimulus (CS1) is paired with an unconditioned stimulus until it reliably elicits a conditioned response. In Phase 2, a new neutral stimulus (CS2) is paired with CS1 without further presentations of the original unconditioned stimulus. After repeated CS2-CS1 pairings, CS2 alone comes to elicit a conditioned response. Importantly, the response elicited by CS2 is typically weaker than the response elicited by CS1, and higher-order conditioning beyond the second order is difficult to achieve in practice because the associative strength degrades with each successive link.

Higher-order conditioning is theoretically significant because it demonstrates that direct pairing with an unconditioned stimulus is not the only route to acquiring conditioned properties. It helps explain how neutral stimuli can acquire emotional or motivational significance through indirect associative chains. For example, in Pavlov's original demonstrations, a metronome conditioned to elicit salivation could then be paired with a black square, such that the black square itself came to elicit a modest salivary response.

For the EPPP, candidates must distinguish higher-order conditioning from stimulus generalization and from sensory preconditioning. Unlike generalization, which involves perceptual similarity, higher-order conditioning involves explicit pairing of the new stimulus with the existing conditioned stimulus. Unlike sensory preconditioning, where two neutral stimuli are paired before either is conditioned, higher-order conditioning requires that the first stimulus already function as a conditioned stimulus during the pairing phase. Exam questions often describe a two-phase procedure and ask candidates to identify the phenomenon."
